word,uni_lemma,avg_surprisal
airplane,airplane,inf
all,all,4.885063925500136
animal,animal,inf
another,another,inf
apple,apple,8.349252257822561
arm,arm,inf
asleep,asleep,inf
aunt,aunt,inf
away,away,4.034017263941396
baby,baby,7.606121400583331
babysitter,babysitter,21.432579297285812
back,back (location),4.106022269785083
bad,bad,8.33904531726955
ball,ball,inf
balloon,balloon,inf
banana,banana,inf
bath,bath,inf
bathroom,bathroom,inf
bathtub,bathtub,inf
beach,beach,inf
beads,beads,inf
bear,bear,6.777500420618275
bed,bed,inf
bedroom,bedroom,inf
bee,bee,inf
bib,bib,inf
bicycle,bicycle,inf
big,big,4.841229354437217
bird,bird,inf
bite,bite,10.420450195590199
blanket,blanket,inf
block,block,inf
blow,blow,10.044743545059156
blue,blue,inf
book,book,5.934062351890719
boots,boots,62.23084912822519
bottle,bottle,inf
bowl,bowl,inf
box,box,5.906634723310244
boy,boy,3.5471670267785913
bread,bread,14.357113564565644
break,break,8.706640461337559
breakfast,breakfast,26.385893895881907
bring,bring,7.096756055696681
broken,broken,12.655059710450487
broom,broom,inf
brother,brother,inf
brush,brush (object),27.247705640356525
bubbles,bubbles,inf
bug,bug,inf
bump,bump,inf
bunny,bunny,inf
bus,bus,inf
butter,butter,inf
butterfly,butterfly,inf
button,button,inf
bye,bye,inf
cake,cake,7.825467655652593
candy,candy,inf
car,car,5.656148395285993
careful,careful,5.175627503390987
carrots,carrots,inf
cat,cat,7.690604734185506
cereal,cereal,60.53058478374355
chair,chair,7.031398426817285
cheek,cheek,38.88033657512445
cheerios,cheerios,64.18361552138077
cheese,cheese,inf
chicken,chicken (animal),inf
chicken,chicken (food),inf
child,child,inf
church,church,inf
clean,clean (action),11.046516607284547
clean,clean (description),11.046516607284547
clock,clock,inf
close,close,9.047988183248814
coat,coat,inf
cockadoodledoo,cockadoodledoo,70.3833198380052
coffee,coffee,inf
cold,cold,6.819359920109589
comb,comb (object),inf
cookie,cookie,inf
couch,couch,inf
cow,cow,inf
cracker,cracker,inf
crib,crib,inf
cry,cry,inf
cup,cup,26.497152657843632
cute,cute,inf
daddy,daddy,inf
dance,dance,67.24937104965005
dark,dark,10.355177648278216
day,day,3.8992084593005414
deer,deer,inf
diaper,diaper,inf
dinner,dinner,25.979285670370476
dirty,dirty,inf
dish,dish,inf
dog,dog,28.90653592168053
doll,doll,inf
dont,don't,3.7109621997966014
donkey,donkey,inf
door,door,inf
down,down,3.746124088017106
draw,draw,7.0981590650394555
drawer,drawer,inf
dress,dress (object),inf
drink,drink (action),21.301795627418816
