word_clean	uni_lemma
airplane	airplane
all	all
animal	animal
another	another
apple	apple
arm	arm
asleep	asleep
aunt	aunt
away	away
baby	baby
babysitter	babysitter
back	back (location)
bad	bad
ball	ball
balloon	balloon
banana	banana
bath	bath
bathroom	bathroom
bathtub	bathtub
beach	beach
beads	beads
bear	bear
bed	bed
bedroom	bedroom
bee	bee
bib	bib
bicycle	bicycle
big	big
bird	bird
bite	bite
blanket	blanket
block	block
blow	blow
blue	blue
book	book
boots	boots
bottle	bottle
bowl	bowl
box	box
boy	boy
bread	bread
break	break
breakfast	breakfast
bring	bring
broken	broken
broom	broom
brother	brother
brush	brush (object)
bubbles	bubbles
bug	bug
bump	bump
bunny	bunny
bus	bus
butter	butter
butterfly	butterfly
button	button
bye	bye
cake	cake
candy	candy
car	car
careful	careful
carrots	carrots
cat	cat
cereal	cereal
chair	chair
cheek	cheek
cheerios	cheerios
cheese	cheese
chicken	chicken (animal)
chicken	chicken (food)
child	child
church	church
clean	clean (action)
clean	clean (description)
clock	clock
close	close
coat	coat
cockadoodledoo	cockadoodledoo
coffee	coffee
cold	cold
comb	comb (object)
cookie	cookie
couch	couch
cow	cow
cracker	cracker
crib	crib
cry	cry
cup	cup
cute	cute
daddy	daddy
dance	dance
dark	dark
day	day
deer	deer
diaper	diaper
dinner	dinner
dirty	dirty
dish	dish
dog	dog
doll	doll
dont	don't
donkey	donkey
door	door
down	down
draw	draw
drawer	drawer
dress	dress (object)
drink	drink (action)
drink	drink (beverage)
drive	drive
dry	dry (description)
duck	duck
ear	ear
eat	eat
egg	egg
elephant	elephant
empty	empty
eye	eye
face	face
fall	fall
fast	fast
feed	feed
fine	fine
finger	finger
finish	finish
firetruck	firetruck
fish	fish (animal)
fish	fish (food)
flower	flower
food	food
foot	foot
fork	fork
frog	frog
garage	garage
garden	garden
gentle	gentle
get	get
giraffe	giraffe
girl	girl
give	give
glass	glass
glasses	glasses
go	go
good	good
goose	goose
grandma	grandma
grandpa	grandpa
grrr	grrr
hair	hair
hammer	hammer
hand	hand
happy	happy
hard	hard
hat	hat
head	head
hello	hello
help	help
her	her
hi	hi
his	his
hit	hit
home	home
horse	horse
hot	hot
house	house
how	how
hug	hug
hungry	hungry
hurry	hurry
hurt	hurt (description)
i	i
in	in
inside	inside
it	it
jacket	jacket
jeans	jeans
juice	juice
jump	jump
keys	keys
kick	kick
kiss	kiss
kitchen	kitchen
kitty	kitty
knee	knee
lady	lady
lamb	lamb
lamp	lamp
later	later
leg	leg
light	light (object)
lion	lion
little	little (description)
look	look
love	love
lunch	lunch
man	man
me	me
meat	meat
medicine	medicine
meow	meow
milk	milk
mine	mine
mommy	mommy
money	money
monkey	monkey
moo	moo
moon	moon
more	more
morning	morning
motorcycle	motorcycle
mouse	mouse
mouth	mouth
my	my
nap	nap
naughty	naughty
necklace	necklace
nice	nice
night	night
no	no
none	none
nose	nose
not	not
now	now
off	off
old	old
on	on
open	open (action)
orange	orange (food)
other	other
ouch	ouch
out	out
outside	outside
oven	oven
owl	owl
pajamas	pajamas
pants	pants
paper	paper
park	park
party	party
pattycake	pattycake
peas	peas
peekaboo	peekaboo
pen	pen
penguin	penguin
penny	penny
people	people
person	person
picture	picture
pig	pig
pillow	pillow
pizza	pizza
plant	plant
plate	plate
play	play
please	please
pony	pony
pool	pool
potty	potty
pretty	pretty
pull	pull
puppy	puppy
purse	purse
push	push
put	put
radio	radio
rain	rain
raisin	raisin
read	read
red	red
refrigerator	refrigerator
ride	ride
rock	rock (object)
run	run
same	same
say	say
scared	scared
school	school
scissors	scissors
see	see
sheep	sheep
shh/shush/hush	shh
shirt	shirt
shoe	shoe
shorts	shorts
shovel	shovel
show	show
sick	sick
sing	sing
sink	sink
sister	sister
sky	sky
sleep	sleep
sleepy	sleepy
slide	slide (object)
smile	smile
snow	snow
soap	soap
sock	sock
soft	soft
some	some
splash	splash
spoon	spoon
squirrel	squirrel
stairs	stairs
star	star
stop	stop
store	store
stove	stove
stroller	stroller
sun	sun
sweater	sweater
swim	swim
swing	swing (action)
swing	swing (object)
table	table
take	take
teacher	teacher
teddybear	teddybear
telephone	telephone
that	that
there	there
thirsty	thirsty
this	this
throw	throw
tickle	tickle
tiger	tiger
tired	tired
toast	toast
today	today
toe	toe
tomorrow	tomorrow
tongue	tongue
tonight	tonight
tooth	tooth
toothbrush	toothbrush
touch	touch
towel	towel
toy	toy (object)
train	train
trash	trash
tree	tree
truck	truck
tummy	tummy
turkey	turkey
turtle	turtle
tv	tv
uncle	uncle
under	under
up	up
vacuum	vacuum
vroom	vroom
wait	wait
walk	walk
wash	wash
watch	watch (action)
watch	watch (object)
water	water (beverage)
water	water (not beverage)
wet	wet (description)
what	what
when	when (question)
where	where (question)
who	who
why	why
window	window
wipe	wipe
work	work (place)
write	write
backyard	yard
yes	yes
you	you
your	your
yucky	yucky
zipper	zipper
zoo	zoo
